a: a
men: muškaraca
method: metoda
middle: sredini
midnight: ponoć
milk: mlijeko
minute: minuta
minutes: sekundi
mirror: zrcalo
monday: ponedjeljak
month: mjesec
moon: mjesec
more: više
morning: jutro
mother: majka
mountain: gora
mountains: planine
mouse: miš
movies: film
much: koliko
music: glazba
my: moj
myši: mišu
name: ime
nation: narod
nations: naroda
natural: prirodna
near: blizu
nearest: najbliži
necessary: treba
need: trebati
needed: trebalo
needs: treba
new: nov
night: noć
nine: devet
nineteen: devetnaest
ninety: devedeset
ninth: deveti
no: ne
north: sjever
northern: sjeverna
northwestern: sjeverozapadni
nose: nos
not: ne
note: bilješki
notebook: bilježnica
notes: bilješki
nothing: ništa
novels: romane
november: studeni
now: sada
oak: hrast
october: listopad
of: od
office: ured
often: često
old: star
on: na
one: jedan
only: samo
open: otvoren
or: ili
orange: naranča
oranges: naranče
other: drugi
others: drugi
our: našom
outline: obris
over: preko
paint: slikati
painting: slika
pajama: pidžama
pajamas: pidžama
pan: tava
pancake: palačinka
paper: papir
pardon: pardon/oprostite
parent: roditelj
park: park
past: prošlost
path/way: put
peace: mir
peaceful: miran
pear: kruška
pears: kruške
pen: pero
people: ljudi
pepper: papar
perhaps: možda
person: osoba
picture: slika
pictures: slike
piece: komad
pillow: jastuk
pity: šteta
pizza: pizzu
plan: plan
plate: tanjur
play: igrati
playing: igra
plays: igra
pleasant: ugodan
please: molim
plum: šljiva
plums: šljive
point: točka
poland: Poljska
pole: Poljak
policeman: policajac
portrait: portret
possible: moguće
pot: lonac
prepare: priprema
preparing: priprema
price: cijena
proud: ponosan
proudly: ponosno
put: staviti
putting: stavlja
quick: brz
quickly: brzo
quiet: tih
radio: radio
rain: kiša
raining: kiša
ran: pobjegao
reaction: reakcija
read: čitati
reading: čita
ready: spreman
receipt: račun
red: crven
region: region
regions: regioni
repeat: ponovi
rest: odmor
restaurant: restoran
return: povrat
returns: povrat
rich: bogatom
right: desno
ripe: zreo
rise: ustati
rises: ustaje
river: rijeka
road: cesta
room: soba
rose: ruža
ruble: rubalj
rubles: rubalja
run: trčati
running: trčanje
runs: trči
russia: Rusiji
russian: ruski
sad: žalostan/tužan
sadly: žalostno/tužno
sadness: tugu
salt: sol
saturday: subota
sausage: kobasica
says: kaže
scarf: šal
school: škola
sea: more
season: sezona
seasons: sezone
seat: sjedenje
second: sekunda
seconds: sekundi
security: sigurnost
see: vidjeti
sees: vidi
sell: prodavati
seller: prodavač
sells: prodaje
september: rujan
series: seriju
sets: zalazi
seven: sedam
seventeen: sedamnaest
seventh: sedmi
seventy: sedamdeset
sew: šivati
sewing: šiva
shame: sram
shape: oblik
shapes: oblici
sharp: oštar
she: ona
shelf: polica
shine: sjati
shines: sjaji
shining: svijetli
shirt: košulja
shoe: cipela
shoes: cipele
shop: trgovina
shop/store: trgovina
short: kratka
shorter: kraći
shorts: kratke
show: pokazati
shows: pokazuje
side: strana
sides: strane
signed: potpisan
silent: šutjeti
silver: srebrna
similar: sličan
simple: jednostavan
sincere: iskren
sing: pjevati
singing: pjeva
sister: sestra
sit: sjediti
sitting: sjedenje
situation: situaciju
six: šest
sixteen: šesnaest
sixth: šesti
sixty: šezdeset
skin: koža
sky: nebo
slav: Slaven
slavic: slavenski
sleep: spavati
sleeps: spava
small: mala
smart: pametan
smell: miris
smells: miriše
smooth: glatka
snow: snijeg
so: tako
sock: čarapa
socks: čarape
soft: mekan
sometimes: ponekad
son: sin
songs: pjesme
soon: uskoro
soul: duše
sour: kiseo
south: jug
southeast: jugoistok
southern: južne
southwest: jugozapad
speak: govoriti
speaks: govori
speed: brzina
spirit: duh
spoke: govorio
spoon: žlica
sport: sport
sports: sportaše
spring: proljeće
square: kvadrat
square/market: trg
stable: stabilan
stadium: stadion
stand: stajati
standing: stoji
stands: stoji
star: zvijezda
stars: zvijezde
station: stanica
stays: ostaje
still: još
stomach: želudac
stone: kamen
stones: kamenje
stops: zaustavlja
straight: ravno
strawberries: jagode
strawberry: jagoda
street: ulica
strong: snažan
stronger: jači
strongly: jako
student: učenik
students: učenicima
stupid: glup
subject: predmet
suffer: trpjeti
sugar: šećer
summer: ljeto
sun: sunce
sunday: nedjelja
suns: sunaca
sure: siguran
sweet: sladak
swim: plivati
swimming: plivanje
symbol: simbol
syr: sir
t-shirt: majica
table: stol
talk: razgovarati
talking: razgovaram
talks: razgovara
tall: visok
taller: viši
taller/higher: viši
talt: talt
tasty: ukusna
tea: čaj
teacher: učitelj
tells: kaže
ten: deset
tennis: tenis
tenth: desetoj
than: nego
thank: hvala
thanks: hvala
that: taj
the: the
their: njihov
them: ih
then: zatim
there: tamo
these: ove
they: oni
thin: tanak
thing: stvar
things: stvari
think: misli
thinner: tanji
third: treći
thirteen: trinaest
thirtieth: trideseti
thirty: trideset
this: ovaj
those: one
thousand: tisuća
thousandth: tisućiti
three: tri
through: kroz
thursday: četvrtak
time: vrijeme
times: puta
tired: umoran
to: do
today: danas
tomorrow: sutra
too: previše
towards: prema
traffic: promet
train: vlak
trains: vlakova
travel: putovati
travels: putuje
tree: drvo
trees: drveća
tremor: drhtanje/strah
triangle: trokut
troubling: dosadno
trousers: hlače
truth: istinu
try: probati
trying: probava
tuesday: utorak
twelfth: dvanaestoj
twelve: dvanaest
twenty: dvadeset
two: dva
ugly: ružan
uncle: stric
under: pod
understand: razumijem
underwear: gaće
unit: jedinica
universe: svemir
until: do
us: nas
vacation: odmor
valley: dolina
valuable: dragocjen
very: vrlo
vineyard: vinogradu
vlad: vlad
vodka: votke
walk: šetnju
walking: hoda
wall: zid
want: htjeti
wardrobe: ormar
warm: topao
warms: grije
was: bio
watch: sat
watching: gleda
water: voda
way: put
we: mi
weak: slab
wear: nositi
wearing: nosi
wears: nosi
weather: vrijeme
wednesday: srijeda
week: tjedan
weekend: vikend
welcome: dobrodošli
well: dobro
went: išao
went/walked: išao
were: bili
west: zapad
western: zapadni
wet: mokar
what: što
when: kad
where: gdje
which: koji
white: bijel
who: tko
wide: široka
wife: žena
will: će
wind: vjetar
window: prozor
windows: prozora
wine: vino
winter: zima
wise: mudar
wiser: mudriji
with: sa
within: unutra
without: bez
wolf: vuk
woman: žena
women: žene
wood: drvo
words: riječi
wore: nosio
work: rad
worker: radnik
working: radi
works: radi
would: bi
write: pisati
writer: pisar
writes: piše
writing: piše
year: godina
year's: godine
yellow: žut
yes: da
yesterday: jučer
you: ti
young: mlad
your: tvoj
zero: nula
